ID,Nome da campanha,Resultados,Alcance,Custo por resultados,Valor gasto (BRL),Pessoas executando uma ação
1,2017_11_02_FBD_videoFBDgeral_publicoLeadlovers,82,378,0.60975609756098,50,264
2,SOROCABA - Setembro - CFDS 2,14,1373,0.71428571428571,10,22
3,SOROCABA - Setembro - CDFS 1,102,3524,0.29411764705882,30,117
4,SOROCABA - Setembro - TPM 1H,26,1561,0.37884615384615,9.85,36
5,SOROCABA - Setembro - ME,92,5848,0.49217391304348,45.28,112
6,SOROCABA - Setembro - PG,141,8586,0.41482269503546,58.49,170
7,ITU - Setembro - TPM 1H,18,1449,0.54277777777778,9.77,21
8,ITU - Setembro - TPM,62,3740,0.67967741935484,42.14,73
9,ITU - Setembro - PG,25,2280,0.6788,16.97,32
10,ITU - Setembro - ME,18,1479,0.53722222222222,9.67,21
11,ITU - Setembro - CFDS 2,23,1166,0.43478260869565,10,24
12,ITU - Setembro - CFDS 1,40,2905,0.75,30,44
13,PIRACICABA - Setembro - PG,87,3721,0.47724137931034,41.52,98
14,SALTO - Setembro - CFDS 2,11,1137,0.70090909090909,7.71,15
15,ITATIBA - Setembro - PG,68,2528,0.62073529411765,42.21,76
16,VINHEDO - Setembro - PG,101,2799,0.38871287128713,39.26,135
17,VINHEDO - Setembro - ME,450,21246,2.0723555555556,932.56,663
18,TEMPLO - Setembro - Clareza mental para o dia a dia 4,50,2604,0.2548,12.74,65
19,TEMPLO - Setembro - Preliminares 4,363,15031,0.27548209366391,100,419
20,TEMPLO - Setembro - Preliminares 3,105,5434,0.40790476190476,42.83,130
21,TEMPLO - Setembro - Purificando a mente com a meditação 4,104,4354,0.28846153846154,30,173
22,TEMPLO - Setembro - Purificando a mente com a meditação 3,241,11297,0.29045643153527,70,356
23,TEMPLO - Setembro - PG Sexta,1469,56012,0.34923076923077,513.02,1711
24,TEMPLO - Setembro - Meditação expressa,133,7046,0.34075187969925,45.32,186
25,TEMPLO - Setembro - Dia da família,424,23617,0.47169811320755,200,491
26,TEMPLO - Setembro - Todos podem meditar,263,12261,0.38022813688213,100,410
27,ITU - PG Agosto: Superando o apego e a ansiedade,456,24502,0.59548245614035,271.54,540
28,Meditação: empoderamento interior!,395,21114,0.35860759493671,141.65,468
29,Tornando-se um amigo do mundo,890,13590,0.15132584269663,134.68,710
30,Tornando-se um amigo do mundo,210,14314,0.39580952380952,83.12,241
31,2017_11_02_FBD_cliques_ESP_august,28,1243,0.30785714285714,8.62,29
32,Workshop Como fazer oferendas e montar um altar,10,459,236,2.36,12
33,Entenda a natureza e função da sua mente,490,14798,0.28291836734694,138.63,474
34,Meditação Expressa - Templo - Agosto 4,60,5018,0.40316666666667,24.19,82
35,Meditação expressa - Templo - Agosto 2,35,1798,0.23857142857143,8.35,29
